Time (Sec);S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S31;S32;S33;S34;S35;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60;S61;S62;S63;S64;S65;S66;S67;S68;S69;S70;S71;S72;S73;S74;S75;S76;S77;S78;S79;S80;S81;S82;S83;S84;S85;S86;S87;S88;S89;S90;S91;S92;S93;S94;S95;
3900.0363400000156;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72606399999995;99.86303199999998;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.86303199999998;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72606399999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.863032;999.863032;999.8556991999992;999.863032;999.863032;999.863032;999.8596;999.863032;999.863032;999.863032;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.863032;999.863032;999.8556991999992;999.863032;999.863032;999.863032;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.8596;
3900.0363400000156;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72606399999995;99.86303199999998;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.86303199999998;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72606399999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.863032;999.863032;999.8556991999992;999.863032;999.863032;999.863032;999.852496;999.863032;999.863032;999.863032;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.863032;999.863032;999.8556991999992;999.863032;999.863032;999.863032;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.852496;
3900.0449240000157;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72606399999995;99.85959999999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.85959999999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72263199999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.863032;999.8596;999.8556991999992;999.863032;999.863032;999.863032;999.852496;999.8596;999.863032;999.8596;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.863032;999.8596;999.8556991999992;999.863032;999.863032;999.8596;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.852496;
3900.0449240000157;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72606399999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.852496;999.852496;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.852496;
3900.046013333349;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72606399999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.8596;999.852496;999.852496;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.8596;999.852496;
3900.046013333349;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72606399999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.852496;999.852496;999.852496;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.863032;999.852496;999.8556991999992;999.863032;999.863032;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.852496;999.852496;
3900.054597333349;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.85959999999997;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.72263199999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4486959999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72263199999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.8596;999.852496;999.8556991999992;999.863032;999.863032;999.852496;999.852496;999.852496;999.8596;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.8596;999.852496;999.8556991999992;999.863032;999.8596;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.852496;999.852496;
3900.054597333349;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.85249599999997;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.71552799999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4415919999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.71552799999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.852496;999.852496;999.8556991999992;999.863032;999.863032;999.852496;999.852496;999.852496;999.852496;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.852496;999.852496;999.8556991999992;999.863032;999.852496;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.852496;999.852496;
3900.054924000016;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.85249599999997;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.71552799999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4415919999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.71552799999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.852496;999.852496;999.8556991999992;999.863032;999.863032;999.852496;999.852496;999.852496;999.852496;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.852496;999.852496;999.8556991999992;999.863032;999.852496;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.863032;999.852496;999.852496;
3900.0556866666825;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.85249599999997;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.71552799999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4415919999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.71552799999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.852496;999.852496;999.8556991999992;999.863032;999.8596;999.852496;999.852496;999.852496;999.852496;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.852496;999.852496;999.8556991999992;999.863032;999.852496;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.8596;999.852496;999.852496;
3900.0556866666825;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.85249599999997;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.72606399999995;99.71552799999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4415919999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72606399999995;99.71552799999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;999.726064;999.726064;999.726064;999.852496;999.852496;999.8556991999992;999.863032;999.852496;999.852496;999.852496;999.852496;999.852496;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.863032;999.852496;999.852496;999.8556991999992;999.863032;999.852496;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.852496;999.852496;999.852496;
3900.0642706666827;1000.0;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.90577439999987;99.89914399999998;99.89914399999998;99.17819199999985;99.58909599999993;99.58909599999993;99.58909599999993;99.85249599999997;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58566399999992;99.72606399999995;99.72606399999995;99.72263199999995;99.71552799999995;99.85249599999997;99.8556992;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4521279999999;99.4486959999999;99.4415919999999;99.85249599999997;99.8556992;99.72606399999995;99.72606399999995;99.86303199999998;99.86303199999998;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.58909599999993;99.72606399999995;99.72263199999995;99.71552799999995;99.71552799999995;99.8556992;99.86303199999998;99.86303199999998;99.86303199999998;99.86303199999998;99.85959999999997;999.726064;999.726064;999.722632;999.852496;999.852496;999.8556991999992;999.863032;999.852496;999.852496;999.852496;999.852496;999.852496;999.852496;999.8556991999992;999.863032;999.863032;999.863032;999.863032;999.8596;999.852496;999.852496;999.8556991999992;999.8596;999.852496;999.852496;999.8556991999992;999.8556991999992;999.863032;999.863032;999.852496;999.852496;999.852496;
